id;number;name;function;floor;coordX;coordY;radius;doorsX;doorsY;navigationPointConnection;aliases;
1;1;Sala 1;LECTURE;1;1711;2649;130;1501;2372;3;cw 1, 1 cw, centrum wyk³adowe sala 1, centrum wyk³adowe 1;1
2;2;Sala 2;LECTURE;1;2117;2322;130;1895;2061;3;cw 2, 2 cw, centrum wyk³adowe sala 2, centrum wyk³adowe 2;1
3;3;Sala 3;LECTURE;1;2515;2014;130;2284;1742;6;cw 3, 3 cw,centrum wyk³adowe sala 3, centrum wyk³adowe 3;1
4;4;Sala 4;LECTURE;1;1352;1302;150;1837;1704;3;cw 4, 4 cw, centrum wyk³adowe sala 4, centrum wyk³adowe 4;1
5;5;Sala 5;LECTURE;1;475;782;120;580;934;13;cw 5, 5 cw, centrum wyk³adowe sala 5, centrum wyk³adowe 5;1
6;6;Sala 6;LECTURE;1;846;500;120;970;624;13;cw 6, 6 cw, centrum wyk³adowe sala 6, centrum wyk³adowe 6;1
7;7;Sala 7;LECTURE;2;1112;1951;130;1011;1811;26;cw 7, 7 cw, centrum wyk³adowe sala 7, centrum wyk³adowe 7;1
8;8;Sala 8;LECTURE;2;1398;1727;130;1285;1591;26;cw 8, 8 cw, centrum wyk³adowe sala 8, centrum wyk³adowe 8;1
9;9;Sala 9;LECTURE;2;1678;1502;130;1567;1362;28;cw 9, 9 cw, centrum wyk³adowe sala 9, centrum wyk³adowe 9;1
10;10;Sala 10;LECTURE;2;756;1341;140;578;1484;30;cw 10, 10 cw, centrum wyk³adowe sala 10, centrum wyk³adowe 10;1
11;11;Sala 11;LECTURE;2;499;1046;140;341;1182;30;cw 11, 11 cw, centrum wyk³adowe sala 11, centrum wyk³adowe 11;1
12;12;Sala 12;LECTURE;2;220;611;130;295;722;37;cw 12, 12 cw, centrum wyk³adowe sala 12, centrum wyk³adowe 12;1
13;13;Sala 13;LECTURE;2;496;390;130;567;498;37;cw 13, 13 cw, centrum wyk³adowe sala 13, centrum wyk³adowe 13;1
14;42;Laboratorium 42;LABORATORY;1;2048;3303;40;2083;3182;5;cw 44, 42 cw, centrum wyk³adowe sala 42, centrum wyk³adowe 42;1
15;43;Laboratorium 43;LABORATORY;1;2205;3133;50;2048;2987;5;cw 43, 43 cw, centrum wyk³adowe sala 43, centrum wyk³adowe 43;1
16;44;Laboratorium 44;LABORATORY;1;2353;3015;50;2237;2832;5;cw 44, 44 cw, centrum wyk³adowe sala 44, centrum wyk³adowe 44;1
17;45;Laboratorium 45;LABORATORY;1;2483;2843;75;2381;2717;5;cw 45, 45 cw, centrum wyk³adowe sala 45, centrum wyk³adowe 45;1
18;142;Laboratorium 142;LABORATORY;2;1336;2365;40;1339;2289;24;cw 142, 142 cw, centrum wyk³adowe sala 142, centrum wyk³adowe 142;1
19;143;Laboratorium 143;LABORATORY;2;1425;2256;50;1320;2150;24;cw 143, 143 cw, centrum wyk³adowe sala 143, centrum wyk³adowe 143;1
20;144;Laboratorium 144;LABORATORY;2;1535;2166;50;1453;2043;24;cw 144, 144 cw, centrum wyk³adowe sala 144, centrum wyk³adowe 144;1
21;145;Laboratorium 145;LABORATORY;2;1642;2026;75;1533;1961;24;cw 145, 145 cw, centrum wyk³adowe sala 145, centrum wyk³adowe 145;1
22;;freshmarket;GASTRONOMIC;1;2771;1555;150;2528;1511;6;freshmarket, bufet, sto³ówka;1
23;;rozdzielnia elektryczna;TECH;1;1979;3232;50;2028;3140;5;rozdzielnia elektryczna;1
24;;rozdzielnia elektryczna;TECH;1;1918;3166;40;2034;3154;5;rozdzielnia elektryczna;1
25;;serwerownia;TECH;1;1596;3322;50;1648;3261;2;serwerownia;1
26;;toaleta mêska;RESTROOM;1;1169;2922;80;1269;1882;2;toaleta mêska, wc mêskie, ³azienka mêska;1
27;;toaleta damska;RESTROOM;1;1377;3203;80;1391;3031;2;toaleta damska, wc damskie, ³azienka damska;1
28;;toaleta damska;RESTROOM;1;1491;548;20;1420;585;16;toaleta damska, wc damskie, ³azienka damska;1
29;;toaleta dla niepe³nosprawnych;RESTROOM;1;1546;608;20;1492;679;16;toaleta dla niepe³nosprawnych, wc dla niepe³nosprawnych, ³azienka dla niepe³nosprawnych;1
30;;automat;GASTRONOMIC;1;1575;2848;30;1575;2848;2;automat z jedzeniem, ;1
